Position,Company Name,Location,,,,,,,,
Documentation Coordinator – Logistics,Professional Alternatives,"Irving, TX",,,,,0 applicants,"""Oscar Health logo",,
Product Operations Senior Manager - Remote,Oscar Health,United States,,,,,,,,
Project Inspector,"LanceSoft, Inc.",United States,,,,,CVS Health logo,,,
Enterprise Digital Leadership Program- Design Engineer,CVS Health,"Richardson, TX",,,,,,,,
Customer Service Representative,Michaels Stores,"Lakeside DFW, Texas, United States",,,,,SGS logo,,,
Imaging Support Coordinator,SGS,"Richardson, TX",,,,,0 applicants,Easy Apply,Velex logo,
QA Project Manager,Velex,"Frisco, TX",,,,,0 applicants,WestRock Company logo,,
Reconciliation Auditor,WestRock Company,"Dallas, TX",,,,,Dice logo,,,
Manual Quality Analyst,Dice,"Plano, TX",,,,,"LanceSoft, Inc. logo",,,
Sr. Quality Technician,"LanceSoft, Inc.","Irving, TX",,,,,AmerisourceBergen logo,,,
Solutions Installation & Support Specialist II,AmerisourceBergen,"Frisco, TX",,,,,0 applicants,Quest Diagnostics logo,,
"Specialist, Quality Assurance",Quest Diagnostics,"Lewisville, TX",,,,,2 applicants,The Judge Group logo,,
Quality Systems Manager,The Judge Group,"Fort Worth, TX",,,,,"Comprehensive Logistics Co., Inc. logo",,,
Quality Liaison,"Comprehensive Logistics Co., Inc.","Denton, TX",,,,,Dice logo,,,
Business Systems Analyst - REMOTE,Dice,United States,,,,,,,,
Content Specialist,Kaplan,United States,,,,,,,,
Quality Systems Specialist,binx health,United States,,,,,Flowserve Corporation logo,,,
Quality Systems Specialist,Flowserve Corporation,"Irving, TX",,,,,1 applicant,PwC logo,,
Risk & Regulatory FS IT Controls - Senior Associate,PwC,"Dallas, TX",,,,,American Financing logo,,,
QC/QA Analyst - Compliance,American Financing,United States,,,,,National Life Group logo,,,
Escalation Resolution Process Representative,National Life Group,"Addison, TX",,,,,,,,
Quality Assurance Specialist,KBX,"Dallas, TX",,,,,2 days ago,1 applicant,Public Consulting Group logo,
Business Analyst - Health Policy and Health Information Technology,Public Consulting Group,United States,,,,,Dice logo,,,
QA Engineer,Dice,United States,,,,,Dice logo,,,
QA Lead,Dice,United States,,,,,1 applicant,MedeAnalytics logo,,
Business Analyst,MedeAnalytics,"Richardson, TX",,,,,,,,
Technical Business Analyst,Omnicell,Dallas-Fort Worth Metroplex,,,,,Quest Diagnostics logo,,,
Lab II Asst,Quest Diagnostics,"Lewisville, TX",,,,,CROSSMARK logo,,,
Human Resources Shared Services Manager,CROSSMARK,"Plano, TX",,,,,T-Mobile logo,,,
Scrum Master,T-Mobile,"Frisco, TX",,,,,Welocalize logo,,,
French (Canada) Part-Time Linguistic QA Tester,Welocalize,United States,,,,,City Year logo,,,
Project Manager,City Year,United States,,,,,Dallas County logo,,,
MICROBIOLOGIST II.3006600,Dallas County,"Dallas, TX",,,,,3 applicants,Neiman Marcus Group logo,,
"Scrum Master, Loyalty",Neiman Marcus Group,"Irving, TX",,,,,,,,
Quality Control,"Dallas, TX",On-site,,,,,,,,
Sr. Business Control Specialist - Charlotte or Dallas,Bank of America,"Dallas, TX",,,,,,,,
Intern - Internal Audit,Independent Financial,"McKinney, TX",,,,,ClearanceJobs logo,,,
"Manufacturing Planner / Arlington, TX with Security Clearance",ClearanceJobs,"Arlington, TX",,,,,Dice logo,,,
RC# 012322 2: Sr. Business Analyst - 100% Remote,Dice,United States,,,,,Peek logo,,,
Junior Quality Assurance Engineer - Remote,Peek,United States,,,,,Attentive logo,,,
"Implementation Specialist, Attentive Concierge™",Attentive,United States,,,,,"Vizient, Inc logo",,,
Business Analyst,"Vizient, Inc","Irving, TX",,,,,Schreiber Foods International logo,,,
Customer Service Representative,Schreiber Foods International,United States,,,,,Federal Reserve Bank of Dallas logo,,,
Business Systems Analyst,Federal Reserve Bank of Dallas,"Dallas, TX",,,,,3 applicants,Molina Healthcare logo,,
"Auditor, Call Center Quality",Molina Healthcare,United States,,,,,,,,
Seasonal Intern/Co-Op Opportunities - Packaging/Mechanical/Automation/Process Eng - UTD Career Fair - Dallas-Frisco (TX),The Haskell Company,"Frisco, TX",,,,,Dice logo,,,
Lead QA Engineer,Dice,United States,,,,,Synapticure Inc. logo,,,
Customer Support Assistant (Remote),Synapticure Inc.,United States,,,,,,,,
Senior Training Specialist,Dice,United States,,,,,The Judge Group logo,,,
Sr. Quality Assurance Specialist- Batch Release,The Judge Group,"Fort Worth, TX",,,,,0 applicants,"Poly-America, LP logo",,
Production Supervisor Trainee,"Poly-America, LP","Grand Prairie, TX",,,,,,,,
QA Engineer,Dice,"Richardson, TX",,,,,Lamps Plus logo,,,
Remote Customer Service Specialist-Florida,Lamps Plus,United States,,,,,Dice logo,,,
Business System Analyst,Dice,United States,,,,,,,,
Warranty Analyst,GameStop,"Grapevine, TX",,,,,,,,
Process Improvement Engineer Job,Peterbilt Motors Company,"Denton, TX",,,,,2 applicants,Lamps Plus logo,,
Remote Customer Support Specialist-Arizona,Lamps Plus,United States,,,,,{:companyName} logo,,,
Textile Testing and Quality Compliance Analyst,"Garland, TX",On-site,,,,,NETSYNC logo,,,
Associate Network Technician,NETSYNC,"Dallas, TX",,,,,Siemens logo,,,
Software Engineers UI - Siemens Comfy | Enlighted Job Opportunity - Based in US Major City (Hybrid or Remote),Siemens,"Plano, TX",,,,,Siemens logo,,,
Software Engineers UI - Siemens Comfy | Enlighted Job Opportunity - Based in US Major City (Hybrid or Remote),Siemens,"Plano, TX",,,,,Dice logo,,,
Intern Manual Tester,Dice,United States,,,,,Health Carousel logo,,,
Physician Recruiter,Health Carousel,"Irving, TX",,,,,Easy Apply,Dice logo,,
BA,Dice,"Richardson, TX",,,,,1 applicant,Copart logo,,
SDET Intern - MAS,Copart,"Dallas, TX",,,,,,,,
Informatica Developer,Collabera Inc.,"Irving, TX",,,,,,,,
QA Engineer,Medium,United States,,,,,,,,
Proposal Writer (Remote),Dice,United States,,,,,,,,
Lab Technician - Building Products & Components,Intertek,"Plano, TX",,,,,0 applicants,Topgolf logo,,
Category Food Specialist,Topgolf,"Dallas, TX",,,,,,,,
"IT Business Systems Analyst, Supply Chain & Manufacturing",Dice,"Dallas, TX",,,,,0 applicants,"Poly-America, LP logo",,
Quality Control,"Poly-America, LP","Grand Prairie, TX",,,,,A-LIGN logo,,,
Manager of Reporting and QA,A-LIGN,"Dallas, TX",,,,,Airbyte logo,,,
API Technical Writer,Airbyte,United States,,,,,USI Insurance Services logo,,,
Workforce Solutions Analyst,USI Insurance Services,"Fort Worth, TX",,,,,Recurrent Ventures logo,,,
Content Quality Assurance Specialist,Recurrent Ventures,United States,,,,,,,,
Systems Test Engineer- Ref#418,Samsung Electronics America,"Plano, TX",,,,,,,,
Operations Analysis Analyst,IHS Markit,"Dallas, TX",,,,,Optum logo,,,
"Quality Engineer - Plano, TX",Optum,"Plano, TX",,,,,{:companyName} logo,,,
"Production Line Operator (1st shift) – Fort Worth, TX","Irving, TX",On-site,,,,,Syncroness logo,,,
Technical Writer,Syncroness,"Plano, TX",,,,,17 applicants,Easy Apply,Mizkan America logo,
QA Technician,Mizkan America,"Dallas, TX",,,,,Sherwin-Williams logo,,,
Production Operator - Color,Sherwin-Williams,"Garland, TX",,,,,Dice logo,,,
Technical Writer,Dice,United States,,,,,Directly logo,,,
Community Manager - (Remote OK - USA only),Directly,United States,,,,,,,,
Operations Manager,Bank of America,"Addison, TX",,,,,,,,
Remote Customer Support Specialist-North Carolina,Lamps Plus,United States,,,,,SeatGeek logo,,,
Technical Writer,SeatGeek,United States,,,,,Dice logo,,,
Software QA Analyst - Accessibility Testing,Dice,United States,,,,,HIGHLAND CONSTRUCTION SERVICES  logo,,,
Construction Representative,HIGHLAND CONSTRUCTION SERVICES,United States,,,,,,,,
Technical Writer - Cloud Service Delivery (REMOTE),Oracle,United States,,,,,,,,
Senior QA Analyst,CommentSold,United States,,,,,Arcadia logo,,,
Associate Technical Writer,Arcadia,United States,,,,,,,,
Non Destructive Test Technician,BOMBARDIER,"Red Oak, TX",,,,,Hagerty logo,,,
Regulatory Compliance Specialist,Hagerty,United States,,,,,,,,
US_West | Agile Scrum Master_L2,"LanceSoft, Inc.","Irving, TX",,,,,,,,
Warehouse Stocker - Freezer/Cooler 3rd Shift,KeHE Distributors,"Dallas, TX",,,,,0 applicants,CTI Foods logo,,
Quality Assurance Technician,CTI Foods,"Saginaw, TX",,,,,0 applicants,Internova Travel Group logo,,
"Business Analyst, Hotel Division",Internova Travel Group,United States,,,,,,,,
Quality Specialist,"Dallas, TX",On-site,,,,,Samsung Electronics America logo,,,
"Manager, Continuous Improvement (Industrial Engineer)",Samsung Electronics America,"Coppell, TX",,,,,,,,
Quality Specialist,"Dallas, TX",On-site,,,,,RAYUS Radiology logo,,,
Healthcare Customer Service Representative,RAYUS Radiology,"Dallas, TX",,,,,Alliance Consumer Group logo,,,
Quality Control Coordinator,Alliance Consumer Group,Dallas-Fort Worth Metroplex,,,,,Easy Apply,Independent Financial logo,,
Quality Control Specialist,Independent Financial,"McKinney, TX",,,,,0 applicants,Epsilon logo,,
Associate Software Engineer (Remote),Epsilon,"Irving, TX",,,,,,,,
Software Engineer - QA - Enterprise Money Movement,U.S. Bank,"Irving, TX",,,,,,,,
Automation Test Analyst (Selenium WebDriver),Dice,"Irving, TX",,,,,Dice logo,,,
Business Analyst- Medicaid,Dice,United States,,,,,ClearanceJobs logo,,,
Aeronautical Engr Asc (Stores Separation/Certification) - Entry with Security Clearance,ClearanceJobs,"Fort Worth, TX",,,,,,,,
EHS & QA Representative,The Suddath Companies,"Coppell, TX",,,,,1 applicant,"Recovco Mortgage Management, LLC logo",,
Mortgage QC Analyst - Remote,"Recovco Mortgage Management, LLC","Irving, TX",,,,,FMC Corporation logo,,,
Senior Global Regulatory Ecotoxicologist,FMC Corporation,United States,,,,,"LanceSoft, Inc. logo",,,
Windows Build and Deployment Engineer,"LanceSoft, Inc.","Coppell, TX",,,,,Dice logo,,,
Peoplesoft Analyst (ELM & HCM),Dice,United States,,,,,PwC logo,,,
Digital Products - DevOps - Senior Associate,PwC,United States,,,,,PwC logo,,,
Digital Products - DevOps - Senior Associate,PwC,United States,,,,,agilon health logo,,,
Workday Learning Specialist,agilon health,United States,,,,,,,,
Business Analyst,"Vizient, Inc","Irving, TX",,,,,,,,
Business Analyst,TEKsystems,"Fort Worth, TX",,,,,3 connections work here,1 week ago,15 applicants,RFMS logo
Documentation Manager,RFMS,United States,,,,,General Dynamics Information Technology logo,,,
Technical Writer,General Dynamics Information Technology,United States,,,,,6 applicants,AmerisourceBergen logo,,
Analyst – Business Analyst II,AmerisourceBergen,United States,,,,,Dice logo,,,
QA Engineer - Selenium,Dice,United States,,,,,Sabre Corporation logo,,,
Technical Writer- Database & Cloud,Sabre Corporation,"Southlake, TX",,,,,3 applicants,Easy Apply,Under Armour logo,
QA Engineer - UA Shop App - REMOTE,Under Armour,United States,,,,,,,,
Remote Customer Support Specialist-Idaho,Lamps Plus,United States,,,,,Upstart logo,,,
Associate Training Manager (Vendor CX),Upstart,United States,,,,,{:companyName} logo,,,
"Analyst, Supply Chain Systems","Fort Worth, TX",On-site,,,,,Chainlink Labs logo,,,
QA Engineer,Chainlink Labs,United States,,,,,,,,
Revenue Integrity Quality Assurance Charge Consult,Banner Health,"Dallas, TX",,,,,Attentive logo,,,
"Product Specialist Associate, Email",Attentive,United States,,,,,Alliance Consumer Group logo,,,
Quality Specialist,Alliance Consumer Group,Dallas-Fort Worth Metroplex,,,,,Easy Apply,Dice logo,,
Sr.Webservices Tester - 100% Remote,Dice,United States,,,,,ANC logo,,,
Warehouse Associate,ANC,"Argyle, TX",,,,,U.S. Renal Care logo,,,
Quality Assurance Research Associate,U.S. Renal Care,United States,,,,,,,,
"Mid level QA with Linux, SW Development, Shell Scripting, and command line- REMOTE!",Dice,United States,,,,,,,,
"Associate Project Manager, R&D",Abbott,"Irving, TX",,,,,22 applicants,J.D. Power logo,,
Research Associate- CX solutions,J.D. Power,United States,,,,,Dice logo,,,
Senior Data Analyst,Dice,United States,,,,,Siemens logo,,,
Full Stack Software Engineers Siemens - Comfy | Enlighted Job Opportunity - Based in US Major City (Hybrid or Remote),Siemens,"Plano, TX",,,,,Dice logo,,,
Technical Application Specialist II,Dice,"Arlington, TX",,,,,Dice logo,,,
PEGA Tester and PEGA Test Lead - Full Time,Dice,"Dallas, TX",,,,,Maximus logo,,,
Quality Analyst (Remote) - Veterans Services,Maximus,United States,,,,,,,,
OR Inventory Specialist,HCA Healthcare,"Dallas, TX",,,,,Trianz logo,,,
Biz Talk Engineer,Trianz,"Coppell, TX",,,,,Bank of America logo,,,
"Document Administrator III-(Commercial Loans/Legal Documents) Richardson, TX",Bank of America,"Richardson, TX",,,,,,,,
"Install Quality Specialist, Energy",Tesla,"Dallas, TX",,,,,,,,
Wordpress Developer,PYMNTS,United States,,,,,Stryker logo,,,
"Associate Mako Product Specialist- Weatherford, Texas",Stryker,"Fort Worth, TX",,,,,3 applicants,Kaplan logo,,
CloudOps Engineer III,Kaplan,United States,,,,,,,,
Remote Customer Service Specialist-Nevada,Lamps Plus,United States,,,,,Dice logo,,,
QA Lead,Dice,United States,,,,,Allied Electronics &amp; Automation logo,,,
Web QA Analyst - No Sponsorship - Remote,Allied Electronics & Automation,"Fort Worth, TX",,,,,MEDICAL CITY DALLAS logo,,,
BMT Quality and Performance Coordinator,MEDICAL CITY DALLAS,"Dallas, TX",,,,,0 applicants,"LanceSoft, Inc. logo",,
"Analyst/Developer (SAP, PS, other specialty)","LanceSoft, Inc.","Allen, TX",,,,,Rain the Growth Agency logo,,,
Data Visualization Associate,Rain the Growth Agency,United States,,,,,,,,
Public Works Inspector,Bureau Veritas Group,"Plano, TX",,,,,"Anthem, Inc. logo",,,
SCA Quality Auditor I,"Anthem, Inc.","Denison, TX",,,,,3 applicants,Dice logo,,
SFCC [Demandware]/ ECOMMERCE QA Manual,Dice,United States,,,,,Dice logo,,,
Remote Senior Variant Configuration Analysts,Dice,"Plano, TX",,,,,,,,
Technical Writer,Körber Supply Chain,United States,,,,,17 applicants,ExecOnline logo,,
QA Tester,ExecOnline,United States,,,,,Medical City Healthcare logo,,,
Perinatal Program Coordinator,Medical City Healthcare,"Irving, TX",,,,,0 applicants,Roofstock logo,,
Inspection Coordinator,Roofstock,United States,,,,,{:companyName} logo,,,
Medical Records Clerk,"Fort Worth, TX",On-site,,,,,The Judge Group logo,,,
Scrum Master,The Judge Group,"Dallas, TX",,,,,,,,
Reporting & Customer Data Manager,American Heart Association,"Dallas, TX",,,,,0 applicants,Elevate logo,,
Senior Analyst - Security Operations,Elevate,United States,,,,,VetJobs logo,,,
"Production Operator - Carrollton, TX",VetJobs,"Carrollton, TX",,,,,0 applicants,{:companyName} logo,,
Associate Customer Experience Representative \/Office Administrator\/Receptionist,"Fort Worth, TX",On-site,,,,,,,,
Customer Service Representative,American Tire Distributors,"Carrollton, TX",,,,,FinTech LLC logo,,,
Kafka / MS - QA Lead,FinTech LLC,"Irving, TX",,,,,,,,
Adaptive Testing Coordinator,The University of Texas at Dallas,"Richardson, TX",,,,,"Vizient, Inc logo",,,
Business Analyst,"Vizient, Inc","Irving, TX",,,,,,,,
NetSparker Application Security Tester - 100% REMOTE,General Dynamics Information Technology,United States,,,,,,,,
Technical Writer,Oracle,United States,,,,,Major League Baseball logo,,,
Web Application Penetration Tester,Major League Baseball,United States,,,,,Charles Schwab logo,,,
Data Engineer,Charles Schwab,"Westlake, TX",,,,,Dice logo,,,
Software QA (Drilling Industry Experience Required),Dice,United States,,,,,Atrilogy Solutions Group logo,,,
PeopleSoft HR Developer - Remote,Atrilogy Solutions Group,United States,,,,,Flowserve Corporation logo,,,
"QA Engineer, Special Projects & Implementation",Flowserve Corporation,"Irving, TX",,,,,,,,
Cybersecurity - Penetration Testing - Experienced Associate,PwC,"Dallas, TX",,,,,Pathway Homes logo,,,
Applications Manager,Pathway Homes,"Dallas, TX",,,,,Dice logo,,,
QA Engineer,Dice,United States,,,,,Bank of America logo,,,
Quality Engineer,Bank of America,"Addison, TX",,,,,,,,
Process Excellence Manager,TT Electronics plc,"Plano, TX",,,,,0 applicants,Lamps Plus logo,,
Remote Customer Service Specialist-Washington,Lamps Plus,United States,,,,,Lamps Plus logo,,,
Remote Customer Service Specialist-Oregon,Lamps Plus,United States,,,,,Dice logo,,,
QA Automation Software Engineer,Dice,"Farmers Branch, TX",,,,,,,,
Jr. Software QA Engineer,Copart,"Dallas, TX",,,,,Tandem Theory logo,,,
Email Campaign Manager,Tandem Theory,United States,,,,,Santander Consumer USA logo,,,
Vendor/ Third Party Risk Management Analyst,Santander Consumer USA,"Dallas, TX",,,,,9 applicants,BioSpace logo,,
Quality Specialist,BioSpace,"Dallas, TX",,,,,2 applicants,Certara logo,,
Senior / Associate PKPD Programmer - Remote,Certara,United States,,,,,Dice logo,,,
Sr. Automation QA Analyst,Dice,United States,,,,,Greenlots logo,,,
Performance Test Engineer,Greenlots,United States,,,,,5 applicants,CoreLogic logo,,
"Professional, Data Quality",CoreLogic,"Irving, TX",,,,,,,,
Quality Control Technician,Florence Corporation,"Dallas, TX",,,,,,,,
Field Analyst - Cloud Subscription Management (Remote),Oracle,United States,,,,,O&#39;Reilly Media logo,,,
Business Systems Analyst,O'Reilly Media,United States,,,,,,,,
Loan Quality Assurance Specialist II,First United Bank,"Durant, OK",,,,,"Method360, Inc. logo",,,
IBP Scrum Master - Russia,"Method360, Inc.","Plano, TX",,,,,Abbott logo,,,
Specialist Quality Assurance,Abbott,"Irving, TX",,,,,1 month ago,15 applicants,Quest Diagnostics logo,
"Technologist Cytogenetic I- Lewisville, TX (Remote Work Available)",Quest Diagnostics,"Lewisville, TX",,,,,11 applicants,BravoTECH logo,,
ETL Developer,BravoTECH,"McKinney, TX",,,,,,,,
Lab Technician,HVJ Associates®,"Dallas, TX",,,,,,,,
Senior QA Engineer,EAB,United States,,,,,,,,
Business Intelligence Report Developer - remote/work from home,Southern Scripts,"Dallas, TX",,,,,Dice logo,,,
Content Developer/Technical Producer,Dice,"Dallas, TX",,,,,Ally logo,,,
SRE QA Support- 10849,Ally,United States,,,,,12 applicants,Dice logo,,
"Visual Designer (100% Remote) (Sketch, Zeplin, InVision, Flinto, Adobe CC)",Dice,"Dallas, TX",,,,,,,,
QA/Automation Test Engineer(Remote),Dice,United States,,,,,,,,
Remote Customer Service Specialist-South Dakota,Lamps Plus,United States,,,,,23 applicants,Dice logo,,
Software QA Engineer (Python),Dice,United States,,,,,Hooters of America logo,,,
Hospitality Service Support,Hooters of America,"Plano, TX",,,,,0 applicants,Catalyst Health Group logo,,
QA Engineer I,Catalyst Health Group,"Plano, TX",,,,,,,,
Sales Desk Quality Associate,National Life Group,"Addison, TX",,,,,2 applicants,Baylor Scott &amp; White Health logo,,
Quality Improvement Analyst,Baylor Scott & White Health,"Dallas, TX",,,,,1 applicant,Halff Associates logo,,
"Architectural BIM Coordinator - Richardson, TX",Halff Associates,"Richardson, TX",,,,,4 applicants,Lamps Plus logo,,
Remote Customer Service Specialist-Georgia,Lamps Plus,United States,,,,,Ferguson Enterprises logo,,,
Quality Assurance Analyst - REMOTE,Ferguson Enterprises,United States,,,,,Salem Media Group logo,,,
Digital Marketing Coordinator,Salem Media Group,"Dallas, TX",,,,,,,,
QA Automation Engineer,Dice,"Irving, TX",,,,,Dice logo,,,
Penetration Tester,Dice,United States,,,,,Hooters of America logo,,,
Hospitality Service Support,Hooters of America,"Irving, TX",,,,,,,,
Oracle Analytics Cloud QA,Dice,United States,,,,,Hooters of America logo,,,
Hospitality Service Support,Hooters of America,"Frisco, TX",,,,,0 applicants,Neo4j logo,,
Community Specialist (Remote),Neo4j,United States,,,,,,,,
Business Systems Analyst II - Credit Systems,Dice,"Arlington, TX",,,,,,,,
Inbound Quality Assurance Inspector,Arhaus,"Hutchins, TX",,,,,0 applicants,Texas Instruments logo,,
Product Test Technician - Day Shift (DFAB),Texas Instruments,"Dallas, TX",,,,,"TSR Consulting Services, Inc logo",,,
QA Project Manager,"TSR Consulting Services, Inc","Irving, TX",,,,,Lamps Plus logo,,,
Remote Customer Service Specialist-Michigan,Lamps Plus,United States,,,,,{:companyName} logo,,,
QA Technician,"Fort Worth, TX",On-site,,,,,,,,
Technical Writer,Kubota Tractor Corporation,"Grapevine, TX",,,,,,,,
Hospitality Service Support,Hooters of America,"Lewisville, TX",,,,,0 applicants,Delta Dental Ins. logo,,
Applications Analyst - Oracle Core HR,Delta Dental Ins.,United States,,,,,8 applicants,Adtalem Global Education logo,,
"Associate Analyst, Salesforce",Adtalem Global Education,United States,,,,,,,,
Analyst – Business Analyst II (REMOTE),AmerisourceBergen,United States,,,,,,,,
Mobile QA Tester,SoftHQ Inc,"Dallas, TX",,,,,The Judge Group logo,,,
EEDM Data Warehouse ETL,The Judge Group,United States,,,,,Children&#39;s Health logo,,,
Data Integrity Specialist,Children's Health,"Dallas, TX",,,,,18 applicants,U.S. Bank logo,,
Software Engineer (Fullstack Automation),U.S. Bank,"Irving, TX",,,,,,,,
REMOTE QA Architect,Dice,United States,,,,,{:companyName} logo,,,
Quality Specialist,"Fort Worth, TX",On-site,,,,,DeepLearning.AI logo,,,
Product Manager,DeepLearning.AI,United States,,,,,Samsung Electronics America logo,,,
Quality Assurance Engineer,Samsung Electronics America,"Plano, TX",,,,,,,,
Technical Writer,Recharge,United States,,,,,,,,
Technical Writer,WatchGuard Technologies,United States,,,,,,,,
QA Engineer II,Dice,United States,,,,,,,,
"BA with Visio, agile, QA, Case Management, PWA and mentoring/coaching experience",Dice,United States,,,,,CorVel Corporation logo,,,
Procurement Analyst I,CorVel Corporation,"Fort Worth, TX",,,,,1 month ago,1 applicant,Peterbilt Motors Company logo,
MSS Coordinator/Quality Engineer SG 24/25 Job,Peterbilt Motors Company,"Denton, TX",,,,,Texas Department of Family and Protective Services logo,,,
Records Analyst I - TX0014933437,Texas Department of Family and Protective Services,"Dallas, TX",,,,,Happify Health logo,,,
Implementation Manager (Remote),Happify Health,United States,,,,,,,,
"Group Lead, Referral Testing",Quest Diagnostics,"Lewisville, TX",,,,,0 applicants,Hooters of America logo,,
Hospitality Service Support,Hooters of America,"McKinney, TX",,,,,0 applicants,ClearanceJobs logo,,
"Manufacturing Planner / Grand Prairie, TX with Security Clearance",ClearanceJobs,"Grand Prairie, TX",,,,,Siemens Digital Industries Software logo,,,
Senior Customer Experience QA,Siemens Digital Industries Software,"Plano, TX",,,,,0 applicants,Dice logo,,
Sr. QA Automation,Dice,United States,,,,,Dice logo,,,
QA Engineer,Dice,United States,,,,,Calm logo,,,
"Organizational Development Manager, Clinical Operations",Calm,United States,,,,,,,,
Salesforce Administrator - REMOTE,Atrilogy Solutions Group,United States,,,,,,,,
RPA Business Analyst,Dice,United States,,,,,First United Bank logo,,,
Database Administrator II,First United Bank,"McKinney, TX",,,,,,,,
Technology Specialist,Amdocs,"Plano, TX",,,,,Intouch Solutions logo,,,
"SENIOR MONITORING AND MODERATION ANALYST, SOCIAL MEDIA - REMOTE OPTIONAL",Intouch Solutions,United States,,,,,Dice logo,,,
Automation Tester- REMOTE- SECRET Clearance,Dice,United States,,,,,TEKsystems logo,,,
Scrum Master,TEKsystems,"Richardson, TX",,,,,3 connections work here,1 week ago,7 applicants,Brown &amp; Brown Insurance logo
Business Analyst / Quality Assurance,Brown & Brown Insurance,United States,,,,,Dice logo,,,
Manhattan Active Omni Tester,Dice,United States,,,,,U.S. Renal Care logo,,,
"Analyst, IT Quality Assurance",U.S. Renal Care,United States,,,,,The College Board logo,,,
Technical Solutions Architect,The College Board,United States,,,,,2 applicants,Dice logo,,
Big Data Engineer,Dice,"Dallas, TX",,,,,HopSkipDrive logo,,,
QA Specialist,HopSkipDrive,United States,,,,,,,,
"Mental Health Professional - $3,000 Signing Bonus",Wellpath,"McKinney, TX",,,,,,,,
Div Regulatory Compliance Admn,D.R. Horton,"Rowlett, TX",,,,,Interim Physicians logo,,,
Credentialing Coordinator QA,Interim Physicians,United States,,,,,"Securitas Electronic Security, Inc logo",,,
Project Manager Installation,"Securitas Electronic Security, Inc","Irving, TX",,,,,,,,
Digital Analyst,Fingerpaint,United States,,,,,,,,
QA Engineer - Core Media - REMOTE,Under Armour,United States,,,,,,,,
Quality Assurance Lead,Deloitte,"Dallas, TX",,,,,Albertsons Companies logo,,,
Digital Tech Lead -- Search Engine,Albertsons Companies,"Arlington, TX",,,,,Osmo logo,,,
QA Analyst,Osmo,United States,,,,,,,,
Analytics Manager,Brado,United States,,,,,,,,
Business Systems Analyst,Dignity Health,United States,,,,,,,,
REMOTE - QA Automation (SDET) Test Engineer,Dice,United States,,,,,Hooters of America logo,,,
Hospitality Service Support,Hooters of America,"Grand Prairie, TX",,,,,0 applicants,Defense Contract Management Agency (DCMA) logo,,
"Lead Quality Assurance Specialist Dallas, Texas",Defense Contract Management Agency (DCMA),"Dallas, TX",,,,,Inductive Automation logo,,,
Technical Writer,Inductive Automation,United States,,,,,,,,
Business Analyst,Vaco,"Dallas, TX",,,,,NEOGOV logo,,,
Associate Product Manager,NEOGOV,United States,,,,,Dice logo,,,
QA Engineer,Dice,United States,,,,,Hallmark Financial Services Inc. logo,,,
Business Systems Analyst,Hallmark Financial Services Inc.,"Dallas, TX",,,,,,,,
Software Engineer (Fullstack Automation),U.S. Bank,"Irving, TX",,,,,,,,
Quality Specialist,"Fort Worth, TX",On-site,,,,,Fort Dearborn Company logo,,,
Prepress Graphics Specialist (Remote),Fort Dearborn Company,United States,,,,,Avantor logo,,,
Manufacturing Operator,Avantor,"Irving, TX",,,,,Dice logo,,,
Quality Management System - Lead / Expert,Dice,"Red Oak, TX",,,,,Oracle logo,,,
Regulatory Compliance Specialist 4,Oracle,United States,,,,,,,,
Release/Applications Engineering Technician Job,Peterbilt Motors Company,"Denton, TX",,,,,1 applicant,"Alvaria, Inc. logo",,
Junior QA Engineer - REMOTE,"Alvaria, Inc.",United States,,,,,,,,
Inventory Specialist,HCA Healthcare,"McKinney, TX",,,,,4 applicants,DIRECTV logo,,
Professional-Technology Vendor Management,DIRECTV,"Dallas, TX",,,,,0 applicants,Collabera Inc. logo,,
Scrum Master,Collabera Inc.,"Plano, TX",,,,,Dice logo,,,
Scrum Master,Dice,"Dallas, TX",,,,,,,,
Business Systems Analyst,Abarca Health,United States,,,,,,,,
"Quality Engineer - Grand Prairie, TX with Security Clearance",ClearanceJobs,"Grand Prairie, TX",,,,,,,,
Snowflake Testing,FinTech LLC,"Irving, TX",,,,,,,,
Client Support Representative,HHAeXchange,"Frisco, TX",,,,,0 applicants,Legacy logo,,
Quality Assurance Engineer,Legacy,United States,,,,,Spectrum logo,,,
Construction Coordinator – Dallas,Spectrum,"Dallas, TX",,,,,Bank of America logo,,,
Senior Auditor/Audit Supervisor - Anticipatory Risk Coverage (ARC) Team,Bank of America,"Dallas, TX",,,,,,,,
KYC Quality Control - AVP,MUFG,"Irving, TX",,,,,Waterlogic USA logo,,,
Order Administrative,Waterlogic USA,"Grapevine, TX",,,,,2 applicants,Sanmina logo,,
Medical Document Control Specialist,Sanmina,"Carrollton, TX",,,,,1 applicant,Walmart logo,,
Operations Manager (Non-Complex),Walmart,"Plano, TX",,,,,,,,
Business Analyst- Integrated Eligibility,Dice,United States,,,,,0 applicants,Truckstop.com logo,,
Quality Assurance Analyst,Truckstop.com,United States,,,,,,,,
Chemist,Arcadis,"Dallas, TX",,,,,,,,
Software Engineer ( Full Stack Automation),U.S. Bank,"Irving, TX",,,,,,,,
Lab II Asst (Molecular),Quest Diagnostics,"Lewisville, TX",,,,,Medpace logo,,,
Clinical Quality & Risk Management Analyst,Medpace,"Irving, TX",,,,,"TTI, Inc. logo",,,
